// Detail texture map file for ze_labs_076R level
// [texture name]	[detail texture name]		[hscale]	[vscale]

{decals01	detail/dt_stone1	10.0	10.0
{djWires	detail/dt_metal1	10.0	10.0
{door01		detail/dt_metal1	10.0	10.0
{metal01	detail/dt_metal1	10.0	10.0
{metal04	detail/dt_metal1	10.0	10.0
{p_resh_0	detail/dt_metal1	10.0	10.0
{pkf_fence2c	detail/dt_metal1	10.0	10.0
{po_freecsla	detail/dt_metal1	10.0	10.0
{PRXDUCT1O	detail/dt_metal1	10.0	10.0
{sp_musor	detail/dt_conc		10.0	10.0
{timorstuff03	detail/dt_conc		10.0	10.0
{trash_h2	detail/dt_conc		10.0	10.0
{trash_h3	detail/dt_conc		10.0	10.0
asphalt_ddk_004	detail/dt_stone1	10.0	10.0
asphalt_ddk_013	detail/dt_stone1	10.0	10.0
asphalt_ddk_052	detail/dt_stone1	10.0	10.0
balk_mtl_ddk_01	detail/dt_metal1	10.0	10.0
balk_mtl_ddk_09	detail/dt_metal1	10.0	10.0
balk_mtl_ddk_12	detail/dt_metal1	10.0	10.0
barrel_ddk_001	detail/dt_metal1	10.0	10.0
barrel_ddk_002	detail/dt_metal1	10.0	10.0
barrel_ddk_003	detail/dt_metal1	10.0	10.0
button_ddk_11	detail/dt_metal1	10.0	10.0
c1a4_silo4a	detail/dt_stone1	10.0	10.0
c1a4_silo4b	detail/dt_stone1	10.0	10.0
c1a4b_w3b	detail/dt_stone1	10.0	10.0
c1a4f_w1	detail/dt_stone1	10.0	10.0
c1a4i_w1a	detail/dt_stone1	10.0	10.0
case_ddk_177	detail/dt_wood1		10.0	10.0
case_ddk_178	detail/dt_wood1		10.0	10.0
cont_ddk_78	detail/dt_metal1	10.0	10.0
cont_ddk_79	detail/dt_metal1	10.0	10.0
cont_ddk_80	detail/dt_metal1	10.0	10.0
cont_ddk_81	detail/dt_metal1	10.0	10.0
door_b_ddk_023	detail/dt_metal1	10.0	10.0
door_b_ddk_052	detail/dt_metal1	10.0	10.0
door_b_ddk_095	detail/dt_metal1	10.0	10.0
door_s_ddk_132	detail/dt_metal1	10.0	10.0
door_s_ddk_171	detail/dt_metal1	10.0	10.0
ect_ddk_215	detail/dt_metal1	10.0	10.0
ect_ddk_229	detail/dt_metal1	10.0	10.0
ect_ddk_230	detail/dt_metal1	10.0	10.0
ect_ddk_231	detail/dt_metal1	10.0	10.0
ect_ddk_232	detail/dt_metal1	10.0	10.0
ect_ddk_233	detail/dt_metal1	10.0	10.0
ect_ddk_234	detail/dt_metal1	10.0	10.0
floor_ddk_26	detail/dt_ground3	10.0	10.0
floor_ddk_34	detail/dt_ground3	10.0	10.0
floor_ddk_41	detail/dt_ground3	10.0	10.0
floor_ddk_67	detail/dt_ground3	10.0	10.0
floor_ddk_70	detail/dt_ground3	10.0	10.0
floor_mt_ddk_16	detail/dt_metal1	10.0	10.0
grid_mtl_ddk_03	detail/dt_metal1	10.0	10.0
ground_ddk_58	detail/dt_ground3	10.0	10.0
light_ddk_01	detail/dt_metal1	10.0	10.0
light_ddk_02	detail/dt_metal1	10.0	10.0
light_ddk_33	detail/dt_metal1	10.0	10.0
metall_ddk_09	detail/dt_metal1	10.0	10.0
metall_ddk_10	detail/dt_metal1	10.0	10.0
metall_ddk_16	detail/dt_metal1	10.0	10.0
metall_ddk_47	detail/dt_metal1	10.0	10.0
pipe_ddk_13	detail/dt_metal1	10.0	10.0
pipe_ddk_27	detail/dt_metal1	10.0	10.0
rock_ddk_046	detail/dt_stone1	10.0	10.0
sand_ddk_038	detail/dt_ground3	10.0	10.0
stone_ddk_73	detail/dt_stone1	10.0	10.0
text_ddk_05	detail/dt_stone1	10.0	10.0
text_ddk_06	detail/dt_stone1	10.0	10.0
text_ddk_38	detail/dt_stone1	10.0	10.0
wall_bk_ddk_095	detail/dt_stone1	10.0	10.0
wall_bk_ddk_159	detail/dt_stone1	10.0	10.0
wall_bk_ddk_572	detail/dt_stone1	10.0	10.0
wall_ddk_071	detail/dt_stone1	10.0	10.0
wall_ddk_089	detail/dt_stone1	10.0	10.0
wall_ddk_104 	detail/dt_stone1	10.0	10.0
wall_ddk_105	detail/dt_stone1	10.0	10.0
wall_ddk_109	detail/dt_stone1	10.0	10.0
wall_ddk_121	detail/dt_stone1	10.0	10.0
wall_ddk_267	detail/dt_stone1	10.0	10.0
wall_ddk_401	detail/dt_stone1	10.0	10.0
wall_ddk_580	detail/dt_stone1	10.0	10.0
wall_ddk_586	detail/dt_stone1	10.0	10.0
wall_ddk_589	detail/dt_stone1	10.0	10.0
wall_ddk_677	detail/dt_stone1	10.0	10.0
wall_ddk_739	detail/dt_stone1	10.0	10.0
wall_ddk_742	detail/dt_stone1	10.0	10.0
window_ddk_66	detail/dt_stone1	10.0	10.0
wood_ddk_043	detail/dt_metal1	10.0	10.0

